,ref,mod,date,total
FA830720F0104,FA830720G0035,P00010,2022-02-09,
N6833520F0677,FA830720G0035,P00007,2021-11-19,
FA259520F0019,FA830720G0072,P00004,2021-07-15,
FA872621F0096,FA830721G0008,P00001,2021-10-21,
FA865121F1033,FA830721G0004,P00001,2022-04-06,
N3904021F0204,FA830721G0004,0,2021-09-13,
FA830720F0103,FA830720G0046,P00022,2022-04-19,
FA873022F0003,FA830720G0039,0,2022-01-07,
FA873021F0164,FA830720G0039,P00001,2021-08-04,
FA701420F0205,FA830720G0049,P00008,2022-04-28,
FA830720F0099,FA830720G0049,P00025,2022-04-11,
FA830722F0020,FA830720G0049,P00001,2022-03-22,
HC102820F1372,FA830720G0049,P00014,2022-03-08,
FA830720F0068,FA830720G0032,P00029,2022-04-07,
FA830720F0102,FA830720G0032,P00017,2022-03-22,
N0001922F1207,FA830720G0032,P00001,2022-03-09,
N6833520F0672,FA830720G0032,P00009,2022-02-11,
FA830720F0089,FA830720G0047,P00018,2022-04-15,
FA873021F0166,FA830721G0020,P00005,2022-04-08,
FA830721F0073,FA830721G0020,P00005,2022-03-30,
FA251821F0020,FA830721G0020,P00005,2022-03-22,
FA873022F0004,FA830721G0020,0,2022-01-07,
FA251821F0036,FA830720G0064,P00003,2022-02-08,
N0001922F0963,FA830720G0064,0,2021-12-21,
N6833520F0792,FA830720G0064,P00003,2021-12-15,
FA259520F0018,FA830720G0064,P00002,2021-07-22,
FA830720F0100,FA830720G0045,P00022,2022-04-13,
FA830720F0081,FA830720G0045,P00021,2022-03-29,
FA830722F0001,FA830720G0045,P00005,2022-03-21,
FA822821F0018,FA830721G0015,P00003,2022-05-04,
HT003821F0035,FA830721G0018,P00002,2022-03-22,
FA830722F0010,FA830721G0018,P00001,2022-02-08,
FA873022F0001,FA830721G0018,0,2022-01-07,
W52P1J22F0031,FA830721G0014,P00001,2022-04-22,
FA830722F0007,FA830720G0033,P00005,2022-03-18,
FA714620F0959,FA830720G0038,P00001,2021-06-02,
FA251821F0035,FA830720G0068,P00002,2022-04-08,
FA830722F0008,FA830720G0041,P00004,2022-03-23,
FA830721F0112,FA830720G0041,P00002,2022-01-31,
N0002421F5114,FA830720G0037,P00009,2022-05-05,
HT003821F0036,FA830720G0037,P00004,2022-04-12,
HT003822F0016,FA830720G0037,0,2022-03-09,
FA830720F0077,FA830720G0004,P00006,2022-02-03,
FA330021FG029,FA830720G0004,0,2021-08-25,
FA830722F0004,FA830720G0074,P00002,2022-01-27,
FA820421F0028,FA830720G0003,P00006,2022-03-22,
FA813621F0152,FA830720G0003,P00001,2021-11-04,
FA877120F0028,FA830720G0003,P00002,2020-09-23,
FA820422F0001,FA830720G0044,P00004,2022-04-27,
N0001922F1209,FA830720G0044,P00001,2022-03-09,
N6833520F0678,FA830720G0044,P00005,2021-11-19,
FA830720F0080,FA830720G0044,P00009,2021-09-27,
